./waf --run "evoMCS -runs=3 -walk=0 -verbose=1 -seed=1 -numAp=9 -numSta=16 -duration=10 -dataRate=100000 -technology=1 -frequency=5 -channelWidth=160 -useUdp=1 -useRts=0 -guardInterval=1 -enableObssPd=1 -useExtendedBlockAck=1 -mcs=15"

Flow;source;src_port;destiny;dst_port;proto;direction;tx_packets;tx_bytes;tx_offered_raw;tx_offered_mbps;rx_bytes;rx_throughput_raw;rx_throughput_mbps;mean_delay(ms);mean_jitter(ms);rx_packets;lost_packets;packet_loss_ratio 
27;172.2.0.12;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;248404;198723.200000;0.198723;3.586163;2.248939;3653;409;10.068932
28;172.2.0.13;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;118932;95145.600000;0.095146;444.425951;8.907182;1749;2313;56.942393
29;172.2.0.14;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;52088;41670.400000;0.041670;425.345591;8.804249;766;3296;81.142294
30;172.2.0.15;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;138176;110540.800000;0.110541;409.180345;7.505915;2032;2030;49.975382
31;172.2.0.16;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;119476;95580.800000;0.095581;432.322326;9.182010;1757;2305;56.745446
32;172.2.0.17;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;97852;78281.600000;0.078282;462.389536;10.147046;1439;2623;64.574101
33;172.3.0.2;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;57800;46240.000000;0.046240;426.371769;10.030768;850;3212;79.074348
34;172.3.0.3;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;76364;61091.200000;0.061091;446.913197;8.794390;1123;2939;72.353520
35;172.3.0.4;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;64872;51897.600000;0.051898;392.423920;10.090431;954;3108;76.514032
36;172.3.0.5;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;67524;54019.200000;0.054019;367.906484;8.947982;993;3069;75.553914
37;172.3.0.6;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;74596;59676.800000;0.059677;434.526823;8.651631;1097;2965;72.993599
38;172.3.0.7;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;79492;63593.600000;0.063594;432.529653;9.135020;1169;2893;71.221073
39;172.3.0.8;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;108664;86931.200000;0.086931;374.309285;8.550751;1598;2464;60.659774
40;172.3.0.9;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;104244;83395.200000;0.083395;417.876971;8.904928;1533;2529;62.259970
41;172.3.0.10;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;116552;93241.600000;0.093242;414.105644;7.932438;1714;2348;57.804037
42;172.3.0.11;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;101524;81219.200000;0.081219;440.754347;9.370931;1493;2569;63.244707
43;172.3.0.12;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;273088;218470.400000;0.218470;2.149477;1.634235;4016;46;1.132447
44;172.3.0.13;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;171768;137414.400000;0.137414;407.468471;7.880447;2526;1536;37.813885
45;172.3.0.14;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;99280;79424.000000;0.079424;406.850559;8.573175;1460;2602;64.057115
46;172.3.0.15;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;121516;97212.800000;0.097213;395.713730;8.529229;1787;2275;56.006893
47;172.3.0.16;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;121992;97593.600000;0.097594;403.394226;8.623349;1794;2268;55.834564
48;172.3.0.17;49153;172.3.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;111656;89324.800000;0.089325;397.405201;8.479003;1642;2420;59.576563
49;172.4.0.2;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;71264;57011.200000;0.057011;355.482103;7.099128;1048;3014;74.199902
50;172.4.0.3;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;51000;40800.000000;0.040800;414.648601;7.820945;750;3312;81.536189
51;172.4.0.4;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;99824;79859.200000;0.079859;377.847847;8.341641;1468;2594;63.860167
52;172.4.0.5;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;59228;47382.400000;0.047382;407.766895;8.280248;871;3191;78.557361
53;172.4.0.6;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;75820;60656.000000;0.060656;387.184702;6.972376;1115;2947;72.550468
54;172.4.0.7;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;84252;67401.600000;0.067402;459.166235;9.725871;1239;2823;69.497784
55;172.4.0.8;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;107712;86169.600000;0.086170;416.551574;8.882683;1584;2478;61.004431
56;172.4.0.9;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;98600;78880.000000;0.078880;414.637443;9.472039;1450;2612;64.303299
57;172.4.0.10;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;108392;86713.600000;0.086714;341.391760;7.881041;1594;2468;60.758247
58;172.4.0.11;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;111112;88889.600000;0.088890;337.613176;8.290945;1634;2428;59.773511
59;172.4.0.12;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;273156;218524.800000;0.218525;4.127419;1.926638;4017;45;1.107829
60;172.4.0.13;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;150688;120550.400000;0.120550;372.402971;8.224121;2216;1846;45.445593
61;172.4.0.14;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;53448;42758.400000;0.042758;427.743591;9.312631;786;3276;80.649926
62;172.4.0.15;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;96424;77139.200000;0.077139;453.539689;8.707828;1418;2644;65.091088
63;172.4.0.16;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;98804;79043.200000;0.079043;425.304096;9.365057;1453;2609;64.229444
64;172.4.0.17;49153;172.4.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;66844;53475.200000;0.053475;411.044391;8.203029;983;3079;75.800098
65;172.5.0.2;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;46036;36828.800000;0.036829;476.726571;11.789797;677;3385;83.333333
66;172.5.0.3;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;79832;63865.600000;0.063866;348.598785;8.250815;1174;2888;71.097981
67;172.5.0.4;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;56440;45152.000000;0.045152;447.015631;9.279636;830;3232;79.566716
68;172.5.0.5;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;53108;42486.400000;0.042486;457.702710;7.888358;781;3281;80.773018
69;172.5.0.6;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;111180;88944.000000;0.088944;367.963477;7.874624;1635;2427;59.748892
70;172.5.0.7;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;98600;78880.000000;0.078880;376.711771;9.318826;1450;2612;64.303299
71;172.5.0.8;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;141508;113206.400000;0.113206;373.386007;8.158574;2081;1981;48.769079
72;172.5.0.9;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;56372;45097.600000;0.045098;510.080638;9.144574;829;3233;79.591334
73;172.5.0.10;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;62628;50102.400000;0.050102;391.026314;7.755062;921;3141;77.326440
74;172.5.0.11;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;122332;97865.600000;0.097866;418.214329;8.667596;1799;2263;55.711472
75;172.5.0.12;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;273360;218688.000000;0.218688;2.178248;1.781933;4020;42;1.033973
76;172.5.0.13;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;131580;105264.000000;0.105264;379.892019;8.160822;1935;2127;52.363368
77;172.5.0.14;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;61948;49558.400000;0.049558;438.793905;9.896097;911;3151;77.572624
78;172.5.0.15;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;111928;89542.400000;0.089542;412.837934;8.796341;1646;2416;59.478090
79;172.5.0.16;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;125800;100640.000000;0.100640;433.089618;8.684900;1850;2212;54.455933
80;172.5.0.17;49153;172.5.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;106896;85516.800000;0.085517;435.322005;8.088743;1572;2490;61.299852
81;172.6.0.2;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;35632;28505.600000;0.028506;458.608109;12.206460;524;3538;87.099951
82;172.6.0.3;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;87652;70121.600000;0.070122;417.753146;8.616045;1289;2773;68.266864
83;172.6.0.4;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;87516;70012.800000;0.070013;440.762957;8.819603;1287;2775;68.316100
84;172.6.0.5;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;79356;63484.800000;0.063485;442.573690;9.331100;1167;2895;71.270310
85;172.6.0.6;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;92344;73875.200000;0.073875;458.718069;7.953984;1358;2704;66.568193
86;172.6.0.7;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;80308;64246.400000;0.064246;438.601365;9.061580;1181;2881;70.925652
87;172.6.0.8;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;89964;71971.200000;0.071971;451.479506;8.788532;1323;2739;67.429838
88;172.6.0.9;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;88536;70828.800000;0.070829;430.921072;9.231073;1302;2760;67.946824
89;172.6.0.10;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;89148;71318.400000;0.071318;417.635359;8.536196;1311;2751;67.725258
90;172.6.0.11;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;151776;121420.800000;0.121421;381.044604;7.832104;2232;1830;45.051699
91;172.6.0.12;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;273700;218960.000000;0.218960;1.757025;1.586342;4025;37;0.910881
92;172.6.0.13;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;109412;87529.600000;0.087530;442.518938;8.783273;1609;2453;60.388971
93;172.6.0.14;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;84388;67510.400000;0.067510;389.314068;8.876295;1241;2821;69.448548
94;172.6.0.15;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;97648;78118.400000;0.078118;443.234317;9.640329;1436;2626;64.647957
95;172.6.0.16;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;144432;115545.600000;0.115546;404.486705;8.153170;2124;1938;47.710487
96;172.6.0.17;49153;172.6.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;63172;50537.600000;0.050538;448.367823;10.387467;929;3133;77.129493
97;172.7.0.2;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;80104;64083.200000;0.064083;413.355186;8.109861;1178;2884;70.999508
98;172.7.0.3;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;125868;100694.400000;0.100694;347.675762;7.738381;1851;2211;54.431315
99;172.7.0.4;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;131172;104937.600000;0.104938;402.522834;8.383567;1929;2133;52.511078
100;172.7.0.5;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;0;0;0;0;0;0;4062;100.000000
101;172.7.0.6;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;55284;44227.200000;0.044227;442.545714;11.932753;813;3249;79.985229
102;172.7.0.7;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;106556;85244.800000;0.085245;418.820789;8.933935;1567;2495;61.422944
103;172.7.0.8;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;127500;102000.000000;0.102000;381.698814;8.816781;1875;2187;53.840473
104;172.7.0.9;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;103564;82851.200000;0.082851;407.442844;8.516317;1523;2539;62.506155
105;172.7.0.10;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;73236;58588.800000;0.058589;425.913698;8.683624;1077;2985;73.485968
106;172.7.0.11;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;120700;96560.000000;0.096560;440.492506;8.829225;1775;2287;56.302314
107;172.7.0.12;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;273700;218960.000000;0.218960;2.025811;1.611464;4025;37;0.910881
108;172.7.0.13;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;97172;77737.600000;0.077738;416.948947;9.403700;1429;2633;64.820286
109;172.7.0.14;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;80512;64409.600000;0.064410;442.126745;8.094386;1184;2878;70.851797
110;172.7.0.15;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;125052;100041.600000;0.100042;432.568041;8.473363;1839;2223;54.726736
111;172.7.0.16;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;125936;100748.800000;0.100749;421.592846;8.631208;1852;2210;54.406696
112;172.7.0.17;49153;172.7.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;105740;84592.000000;0.084592;413.094788;8.621429;1555;2507;61.718365
113;172.8.0.2;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;38760;31008.000000;0.031008;446.878731;8.547640;570;3492;85.967504
114;172.8.0.3;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;76976;61580.800000;0.061581;368.882090;8.966021;1132;2930;72.131955
115;172.8.0.4;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;88536;70828.800000;0.070829;453.731111;10.179358;1302;2760;67.946824
116;172.8.0.5;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;79696;63756.800000;0.063757;400.575441;8.662768;1172;2890;71.147218
117;172.8.0.6;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;68204;54563.200000;0.054563;422.685172;10.285105;1003;3059;75.307730
118;172.8.0.7;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;71060;56848.000000;0.056848;515.042882;11.164480;1045;3017;74.273757
119;172.8.0.8;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;145996;116796.800000;0.116797;361.028473;7.931977;2147;1915;47.144264
120;172.8.0.9;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;77724;62179.200000;0.062179;479.499672;9.639809;1143;2919;71.861152
121;172.8.0.10;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;66708;53366.400000;0.053366;431.262604;8.403066;981;3081;75.849335
122;172.8.0.11;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;112608;90086.400000;0.090086;429.104376;9.323786;1656;2406;59.231905
123;172.8.0.12;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;273428;218742.400000;0.218742;1.829848;1.616875;4021;41;1.009355
124;172.8.0.13;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;145724;116579.200000;0.116579;359.362409;8.121496;2143;1919;47.242738
125;172.8.0.14;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;72012;57609.600000;0.057610;379.727699;8.178493;1059;3003;73.929099
126;172.8.0.15;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;128724;102979.200000;0.102979;363.428915;8.314875;1893;2169;53.397341
127;172.8.0.16;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;110024;88019.200000;0.088019;436.345830;9.045863;1618;2444;60.167405
128;172.8.0.17;49153;172.8.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;105604;84483.200000;0.084483;397.730329;9.007119;1553;2509;61.767602
129;172.9.0.2;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;98940;79152.000000;0.079152;447.141349;8.811824;1455;2607;64.180207
130;172.9.0.3;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;108936;87148.800000;0.087149;453.988922;9.185008;1602;2460;60.561300
131;172.9.0.4;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;119612;95689.600000;0.095690;396.005298;8.085444;1759;2303;56.696209
132;172.9.0.5;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;109004;87203.200000;0.087203;417.369571;8.474932;1603;2459;60.536681
133;172.9.0.6;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;107508;86006.400000;0.086006;409.624573;8.513454;1581;2481;61.078287
134;172.9.0.7;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;133960;107168.000000;0.107168;412.926583;8.761438;1970;2092;51.501723
135;172.9.0.8;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;155856;124684.800000;0.124685;402.390665;7.710653;2292;1770;43.574594
136;172.9.0.9;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;113356;90684.800000;0.090685;412.779333;8.509616;1667;2395;58.961103
137;172.9.0.10;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;97716;78172.800000;0.078173;406.763228;9.155379;1437;2625;64.623338
138;172.9.0.11;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;176120;140896.000000;0.140896;357.757495;7.542325;2590;1472;36.238306
139;172.9.0.12;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;273564;218851.200000;0.218851;1.766849;1.450257;4023;39;0.960118
140;172.9.0.13;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;134164;107331.200000;0.107331;392.387392;8.662800;1973;2089;51.427868
141;172.9.0.14;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;79628;63702.400000;0.063702;434.401929;9.079182;1171;2891;71.171837
142;172.9.0.15;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;136476;109180.800000;0.109181;413.447750;7.974376;2007;2055;50.590842
143;172.9.0.16;49153;172.9.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;119816;95852.800000;0.095853;428.387070;8.416397;1762;2300;56.622354
144;172.9.0.17;49153;172.9.0.1;9;UDP;upload;3124;212432;169945.600000;0.169946;101796;81436.800000;0.081437;363.454805;8.716126;1497;1627;52.080666
2.1071
6097.81 # falta multiplicar por 8.0
Flow;source;src_port;destiny;dst_port;proto;direction;tx_packets;tx_bytes;tx_offered_raw;tx_offered_mbps;rx_bytes;rx_throughput_raw;rx_throughput_mbps;mean_delay(ms);mean_jitter(ms);rx_packets;lost_packets;packet_loss_ratio 
1;172.1.0.2;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;76840;61472.000000;0.061472;365.746035;7.248196;1130;2932;72.181192
2;172.1.0.3;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;86224;68979.200000;0.068979;414.952546;8.825470;1268;2794;68.783850
3;172.1.0.4;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;102136;81708.800000;0.081709;395.729284;8.785630;1502;2560;63.023141
4;172.1.0.5;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;88468;70774.400000;0.070774;416.466524;8.352289;1301;2761;67.971443
5;172.1.0.6;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;90780;72624.000000;0.072624;436.279506;8.564624;1335;2727;67.134417
6;172.1.0.7;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;88060;70448.000000;0.070448;431.895858;10.192859;1295;2767;68.119153
7;172.1.0.8;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;131240;104992.000000;0.104992;422.789342;8.556666;1930;2132;52.486460
8;172.1.0.9;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;118728;94982.400000;0.094982;394.979036;7.752189;1746;2316;57.016248
9;172.1.0.10;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;100164;80131.200000;0.080131;404.673184;8.223020;1473;2589;63.737075
10;172.1.0.11;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;149328;119462.400000;0.119462;295.847517;7.455035;2196;1866;45.937962
11;172.1.0.12;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;272000;217600.000000;0.217600;2.548326;1.832607;4000;62;1.526342
12;172.1.0.13;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;106624;85299.200000;0.085299;416.516365;9.297446;1568;2494;61.398326
13;172.1.0.14;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;82416;65932.800000;0.065933;388.757450;8.320996;1212;2850;70.162482
14;172.1.0.15;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;124712;99769.600000;0.099770;424.576493;8.952333;1834;2228;54.849828
15;172.1.0.16;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;134504;107603.200000;0.107603;414.956521;8.966680;1978;2084;51.304776
16;172.1.0.17;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;65552;52441.600000;0.052442;490.614821;11.122844;964;3098;76.267848
17;172.2.0.2;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;97784;78227.200000;0.078227;342.665292;6.709220;1438;2624;64.598720
18;172.2.0.3;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;54672;43737.600000;0.043738;347.815554;8.197015;804;3258;80.206795
